Artist Name,Stubhub ID,Year,Month,Date,DayOfWeek,Name,City,State,ZipCode,Cons1,Cons2
311,105175571,2022,3,18,5,Coffee Butler Amphitheater,Key West,FL,33040,0,0
311,105175590,2022,3,22,2,The Fillmore Charlotte,Charlotte,NC,28202,0,0
311,105176513,2022,3,23,3,The Ritz Raleigh,Raleigh,NC,27609,0,0
311,105176537,2022,3,25,5,The Norva,Norfolk,VA,23510,0,0
311,105176548,2022,3,26,6,House of Blues Myrtle Beach,North Myrtle Beach,SC,29582,0,0
311,105176558,2022,3,28,1,Ryman Auditorium,Nashville,TN,37219,0,0
311,105175679,2022,3,29,2,Mars Music Hall at Von Braun Center,Huntsville,AL,35801,0,0
311,105177455,2022,3,30,3,Fillmore New Orleans,New Orleans,LA,70130,0,0
1964 the Tribute,103342573,2018,1,20,6,Ames Center,Burnsville,MN,55337,0,0
1964 the Tribute,103342567,2018,2,9,5,Belle Mehus Auditorium,Bismarck,ND,58501,0,0
1964 the Tribute,103476521,2018,2,17,6,Carnegie Hall - Isaac Stern Auditorium,New York,NY,10019,0,0
1964 the Tribute,103259564,2018,3,17,6,St Augustine Amphitheatre,St. Augustine,FL,32080,0,0
1964 the Tribute,103527343,2018,3,24,6,Cabarrus Arena,Concord,NC,28025,0,0
1964 The Tribute,103402850,2018,4,7,6,Anderson Theater,Marietta,GA,30060,0,0
1964 the Tribute,103342576,2018,4,19,4,DeVos Performance Hall,Grand Rapids,MI,49503,0,0
1964 the Tribute,103480209,2018,5,17,4,Aura,Portland,ME,4101,0,0
1964 the Tribute,103342579,2018,5,18,5,Blue Ocean Music Hall,Salisbury,MA,1952,0,0
1964 the Tribute,103536489,2018,6,8,5,Royal Oak Music Theatre,Royal Oak,MI,48067,0,0
1964 The Tribute,103616256,2018,6,23,6,Coronado Performing Arts Center,Rockford,IL,61101,0,0
1964 the Tribute,103518439,2018,8,4,6,Birchmere,Alexandria,VA,22305,0,0
1964 The Tribute,103563662,2018,8,24,5,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
1964 the Tribute,103771081,2018,9,28,5,The Paramount Huntington,Huntington,NY,11743,0,0
1964 the Tribute,103625773,2018,10,5,5,Palace Theatre Greensburg,Greensburg,PA,15601,0,0
1964 The Tribute,103713216,2018,10,13,6,Newton Theatre,Newton,NJ,7860,0,0
1964 the Tribute,103863166,2018,11,2,5,Murat Egyptian Room at Old National Centre,Indianapolis,IN,46204,0,0
1964 the Tribute,103597590,2018,11,16,5,Celebrity Theatre,Phoenix,AZ,85008,0,0
1964 the Tribute,103910201,2019,1,11,5,Weinberg Center For The Arts,Frederick,MD,21701,0,0
1964 the Tribute,103910640,2019,2,1,5,King Center for the Performing Arts,Melbourne,FL,32935,0,0
1964 the Tribute,103901642,2019,2,8,5,Dunn Center for the Performing Arts,Rocky Mount,NC,27804,0,0
1964 the Tribute,103815085,2019,2,14,4,Wolf Trap Farm,Vienna,VA,22182,0,1
1964 the Tribute,103816619,2019,2,15,5,Wolf Trap Farm,Vienna,VA,22182,1,0
1964 the Tribute,104029045,2019,2,16,6,The Beacon Theatre - Hopewell,Hopewell,VA,23860,0,0
1964 the Tribute,103703214,2019,2,23,6,Palace Theatre at Stamford Center for the Arts,Stamford,CT,6901,0,0
1964 the Tribute,104032277,2019,3,2,6,One World Theatre,Austin,TX,78746,0,0
1964 the Tribute,104063549,2019,3,9,6,The Plaza Live Theatre Orlando,Orlando,FL,32803,0,0
1964 the Tribute,104024324,2019,3,23,6,Dow Event Center,Saginaw,MI,48607,0,0
1964 the Tribute,104063548,2019,4,5,5,Duke Energy Center - Mahaffey Theater,Saint Petersburg,FL,33701,0,0
1964 the Tribute,103968641,2019,4,6,6,St Augustine Amphitheatre,St. Augustine,FL,32080,0,0
1964 the Tribute,104103300,2019,4,26,5,The Flying Monkey,Plymouth,NH,3264,0,0
1964 the Tribute,103972273,2019,5,16,4,Aura,Portland,ME,4101,0,0
1964 the Tribute,103965006,2019,5,17,5,Blue Ocean Music Hall,Salisbury,MA,1952,0,0
1964 the Tribute,104247543,2019,8,9,5,Tennessee Theatre,Knoxville,TN,37902,0,0
1964 the Tribute,104130437,2019,8,23,5,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
1964 the Tribute,104220744,2019,8,24,6,Majestic Theatre San Antonio,San Antonio,TX,78205,0,0
1964 the Tribute,104165201,2019,9,21,6,The Paramount Huntington,Huntington,NY,11743,0,0
1964 the Tribute,104381336,2019,10,18,5,Flagstar Strand Theatre For The Performing of Arts,Pontiac,MI,48342,0,0
1964 the Tribute,104154346,2019,11,15,5,Celebrity Theatre,Phoenix,AZ,85008,0,0
1964 the Tribute,104271906,2020,1,18,6,Ames Center,Burnsville,MN,55337,0,0
1964 the Tribute,104310409,2020,2,20,4,Wolf Trap Farm,Vienna,VA,22182,0,0
1964 the Tribute,104683550,2020,10,22,4,Blue Gate Performing Arts Center,Shipshewana,IN,46565,0,0
1964 the Tribute,104854207,2021,8,21,6,Majestic Theatre San Antonio,San Antonio,TX,78205,0,0
1964 The Tribute,104863877,2021,8,25,3,The Paramount Huntington,Huntington,NY,11743,0,0
1964 the Tribute,105014941,2022,1,15,6,Cabot Theatre,Beverly,MA,1915,0,0
1964 the Tribute,105178660,2022,2,12,6,Wolf Trap Farm,Vienna,VA,22182,0,0
1964 the Tribute,104947168,2022,3,11,5,Palladium Center For The Performing Arts,Carmel,IN,46032,0,0
1964 the Tribute ,103538200,2018,7,27,5,Atlantic Union Bank Pavilion,Portsmouth,VA,23704,0,0
1964 the Tribute ,103967814,2019,8,11,7,Schermerhorn Symphony Center,Nashville,TN,37201,0,0
1964 the Tribute ,104322230,2019,12,29,7,Rams Head On Stage,Annapolis,MD,21401,0,0
1964 the Tribute ,104566158,2021,8,19,4,Red Rocks Amphitheatre,Morrison,CO,80465,0,0
1964 the Tribute  ,104590134,2021,8,28,6,Aura,Portland,ME,4101,0,0
2 Chainz,103358096,2018,1,4,4,The Observatory Santa Ana,Santa Ana,CA,92704,0,0
2 Chainz,103685987,2018,9,22,6,Ford Park - TX,Beaumont,TX,77705,0,0
2 Chainz,105046173,2021,11,23,2,Vic Theatre,Chicago,IL,60657,0,0
2 Chainz,105044732,2021,11,27,6,The Fillmore Charlotte,Charlotte,NC,28202,0,0
2 Chainz,105046170,2021,11,28,7,Buckhead Theatre,Atlanta,GA,30305,0,0
2 Chainz,105044737,2021,11,30,2,The Fillmore Silver Spring,Silver Spring,MD,20910,0,0
2 Chainz ,103906775,2018,11,17,6,Drais Beachclub and Nightclub,Las Vegas,NV,89109,0,0
2 Chainz ,103985945,2018,12,31,1,The Pressroom,Phoenix,AZ,85003,0,0
2 Chainz ,104022222,2019,1,26,6,Drais Beachclub and Nightclub,Las Vegas,NV,89109,0,1
2 Chainz ,104446112,2019,11,16,6,Drais Beachclub and Nightclub,Las Vegas,NV,89109,1,0
21 Savage,103430171,2018,3,24,6,Masonic Temple - Detroit,Detroit,MI,48201,0,0
21 Savage,103538132,2018,5,22,2,Starland Ballroom,Sayreville,NJ,8872,0,0
21 Savage,103585067,2018,5,30,3,GLC Live at 20 Monroe,Grand Rapids,MI,49503,0,0
21 Savage,103536469,2018,6,1,5,Terminal 5,New York,NY,10019,0,0
21 Savage,104141226,2019,7,10,3,The Criterion OKC,Oklahoma City,OK,73104,0,0
21 Savage,104141914,2019,7,12,5,White Oak Music Hall,Houston,TX,77009,0,0
21 Savage,104141915,2019,7,13,6,South Side Ballroom,Dallas,TX,75215,0,0
21 Savage,104141916,2019,7,16,2,Arizona Federal Theatre,Phoenix,AZ,85003,0,0
21 Savage,104141918,2019,7,18,4,Cal Coast Credit Union Open Air Theatre at SDSU,San Diego,CA,92128,0,0
21 Savage,104143834,2019,7,19,5,Shrine Auditorium and Expo Hall Los Angeles,Los Angeles,CA,90007,0,0
21 Savage,104142556,2019,7,23,2,Portland Memorial Coliseum,Portland,OR,97227,0,0
21 Savage,104141242,2019,7,25,4,WaMu Theater - Seattle,Seattle,WA,98134,0,0
21 Savage,104142562,2019,7,30,2,Myth,Saint Paul,MN,55109,0,0
21 Savage,104141266,2019,8,4,7,Freedom Hill Amphitheater,Sterling Heights,MI,48312,0,0
21 Savage,104141936,2019,8,6,2,The Anthem,Washington DC,DC,20024,0,0
21 Savage,104141274,2019,8,8,4,The Rooftop at Pier 17,New York,NY,10038,0,0
